#FFEB7F, HKS 1 N
#FFEC00, HKS 2 N
#FFED00, HKS 3 N
#FFDD00, HKS 4 N
#FFD400, HKS 5 N
#FBBA00, HKS 6 N
#F59C00, HKS 7 N
#F39100, HKS 8 N
#EC6624, HKS 10 N
#F9C4A6, HKS 11 N
#F0804F, HKS 12 N
#E73230, HKS 13 N
#EB5C47, HKS 14 N
#E14142, HKS 15 N
#D50C2F, HKS 16 N
#D60846, HKS 17 N
#AE1D49, HKS 18 N
#F086A3, HKS 21 N
#E4002C, HKS 22 N
#E40039, HKS 23 N
#E50064, HKS 24 N
#E50068, HKS 25 N
#DE007D, HKS 26 N
#E1007D, HKS 27 N
#D70072, HKS 28 N
#AF0E80, HKS 29 N
#D71B84, HKS 31 N
#DE007D, HKS 32 N
#A61380, HKS 33 N
#82348B, HKS 34 N
#544496, HKS 35 N
#814897, HKS 36 N
#6E348B, HKS 37 N
#005481, HKS 38 N
#0075BE, HKS 39 N
#00A9E0, HKS 40 N
#164A7E, HKS 41 N
#0067B1, HKS 42 N
#0068B4, HKS 43 N
#0080C8, HKS 44 N
#2D51A0, HKS 45 N
#0092CF, HKS 46 N
#009CE1, HKS 47 N
#009EDB, HKS 48 N
#009ED7, HKS 49 N
#84CEE4, HKS 50 N
#009BB4, HKS 51 N
#009A9B, HKS 52 N
#00AB9F, HKS 53 N
#00A479, HKS 54 N
#009878, HKS 55 N
#008476, HKS 56 N
#00A870, HKS 57 N
#008C48, HKS 58 N
#009AA3, HKS 59 N
#75B842, HKS 60 N
#548931, HKS 61 N
#AFAB4E, HKS 62 N
#7BB03B, HKS 63 N
#60B55A, HKS 64 N
#A0C860, HKS 65 N
#AFCB36, HKS 66 N
#AFCA05, HKS 67 N
#DCD200, HKS 68 N
#F2E500, HKS 69 N
#FDC300, HKS 71 N
#F7B700, HKS 72 N
#D39B04, HKS 73 N
#CA9800, HKS 74 N
#B38E37, HKS 75 N
#8B6629, HKS 76 N
#935B12, HKS 77 N
#B96A2F, HKS 78 N
#F18700, HKS 81 N
#E56D00, HKS 82 N
#B5501A, HKS 83 N
#A3491E, HKS 84 N
#1A1A18, HKS 88 N
#C5BB9A, HKS 89 N
#483E38, HKS 90 N
#AEBAB1, HKS 91 N
#909692, HKS 92 N
#5D767B, HKS 93 N
#B2AF9B, HKS 95 N
#A3A698, HKS 96 N
#242921, HKS 97 N
#866943, HKS 98 N
#9A9997, HKS 99 N
#FFE37E, HKS 1 K
#FCE900, HKS 2 K
#FFED00, HKS 3 K
#FFCC00, HKS 4 K
#FBBA00, HKS 5 K
#F59C00, HKS 6 K
#EF7C00, HKS 7 K
#EE7100, HKS 8 K
#E73F0C, HKS 10 K
#F5A487, HKS 11 K
#E5310E, HKS 12 K
#E30018, HKS 13 K
#E3000F, HKS 14 K
#DD042D, HKS 15 K
#B51D28, HKS 16 K
#B61C3E, HKS 17 K
#8B2738, HKS 18 K
#F1909C, HKS 21 K
#E63229, HKS 22 K
#E40039, HKS 23 K
#D60651, HKS 24 K
#E50068, HKS 25 K
#C7066E, HKS 26 K
#DE007D, HKS 27 K
#C7105C, HKS 28 K
#9D1680, HKS 29 K
#C7007F, HKS 31 K
#D6007E, HKS 32 K
#951981, HKS 33 K
#6F2082, HKS 34 K
#42338B, HKS 35 K
#58348B, HKS 36 K
#5B2282, HKS 37 K
#002E55, HKS 38 K
#006EB7, HKS 39 K
#007FB5, HKS 40 K
#002F5D, HKS 41 K
#1E398F, HKS 42 K
#004E9E, HKS 43 K
#0068B4, HKS 44 K
#4D55A1, HKS 45 K
#0089C1, HKS 46 K
#009EE3, HKS 47 K
#009DD4, HKS 48 K
#008AC4, HKS 49 K
#10BAE7, HKS 50 K
#009AA3, HKS 51 K
#00998A, HKS 52 K
#00A983, HKS 53 K
#008C57, HKS 54 K
#007757, HKS 55 K
#006B52, HKS 56 K
#008143, HKS 57 K
#42754C, HKS 58 K
#00847D, HKS 59 K
#1AA037, HKS 60 K
#15460B, HKS 61 K
#7C7B38, HKS 62 K
#50822E, HKS 63 K
#0B9A33, HKS 64 K
#64B32C, HKS 65 K
#76B828, HKS 66 K
#85BC22, HKS 67 K
#E2C100, HKS 68 K
#E8E000, HKS 69 K
#E5A100, HKS 71 K
#E18404, HKS 72 K
#BB7900, HKS 73 K
#925A00, HKS 74 K
#8D712B, HKS 75 K
#522A00, HKS 76 K
#693827, HKS 77 K
#933024, HKS 78 K
#D94C12, HKS 81 K
#B13403, HKS 82 K
#8B3A2A, HKS 83 K
#742B20, HKS 84 K
#1A1A18, HKS 88 K
#BAAE91, HKS 89 K
#3B2F27, HKS 90 K
#A4AAA0, HKS 91 K
#717776, HKS 92 K
#434F4F, HKS 93 K
#918F79, HKS 95 K
#868173, HKS 96 K
#32372C, HKS 97 K
#866943, HKS 98 K
#9A9997, HKS 99 K